epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,122.38,0.91157,0.77637,1.06959,0.80088,0.81923,0.86483,0.69753,0.8038,0.5928,0.95235,7.42322e-05,7.42322e-05,7.42322e-05
40,125.433,0.93954,0.78627,1.06763,0.84403,0.79688,0.86505,0.69733,0.80066,0.58511,0.95122,7.30541e-05,7.30541e-05,7.30541e-05
41,128.404,0.90901,0.76208,1.07057,0.83946,0.80893,0.86811,0.70003,0.79503,0.57915,0.94886,7.1876e-05,7.1876e-05,7.1876e-05
42,131.536,0.89739,0.75533,1.0773,0.84079,0.81437,0.87163,0.69934,0.79381,0.57689,0.94834,7.06979e-05,7.06979e-05,7.06979e-05
43,134.666,0.89573,0.76249,1.06725,0.834,0.81981,0.87128,0.70007,0.78884,0.57721,0.94594,6.95198e-05,6.95198e-05,6.95198e-05
44,137.814,0.904,0.7861,1.04744,0.84999,0.81752,0.8747,0.7039,0.78463,0.57318,0.94455,6.83417e-05,6.83417e-05,6.83417e-05
45,140.962,0.91594,0.77571,1.05372,0.85533,0.81246,0.87616,0.70616,0.78598,0.57005,0.94387,6.71636e-05,6.71636e-05,6.71636e-05
46,144.082,0.86506,0.76423,1.05397,0.86193,0.81144,0.87815,0.70483,0.79359,0.57071,0.94489,6.59855e-05,6.59855e-05,6.59855e-05
47,147.286,0.89956,0.75083,1.05926,0.86788,0.81125,0.87894,0.70764,0.79193,0.56768,0.9446,6.48074e-05,6.48074e-05,6.48074e-05
48,150.45,0.85345,0.7236,1.03261,0.86515,0.81474,0.87952,0.71266,0.78401,0.56218,0.94193,6.36293e-05,6.36293e-05,6.36293e-05
49,153.586,0.8833,0.73328,1.06029,0.85993,0.81527,0.87882,0.71505,0.77754,0.55829,0.93962,6.24512e-05,6.24512e-05,6.24512e-05
50,156.726,0.88185,0.71997,1.04051,0.88849,0.80033,0.8794,0.71876,0.77173,0.55717,0.93718,6.12731e-05,6.12731e-05,6.12731e-05
51,159.739,0.85092,0.7286,1.01978,0.89027,0.80243,0.88215,0.71564,0.76944,0.55648,0.93617,6.0095e-05,6.0095e-05,6.0095e-05
52,162.726,0.88061,0.74037,1.04746,0.8844,0.81959,0.88292,0.7186,0.76636,0.5531,0.93527,5.89169e-05,5.89169e-05,5.89169e-05
53,165.921,0.84681,0.69586,1.0331,0.89039,0.81766,0.88623,0.71854,0.76388,0.55107,0.93469,5.77388e-05,5.77388e-05,5.77388e-05
54,169.023,0.85253,0.71351,1.02814,0.89327,0.80328,0.87878,0.71765,0.76429,0.546,0.93484,5.65607e-05,5.65607e-05,5.65607e-05
55,172.069,0.8651,0.69143,1.04152,0.8858,0.80818,0.87816,0.71803,0.76413,0.54341,0.93398,5.53826e-05,5.53826e-05,5.53826e-05
56,175.083,0.89783,0.75661,1.05413,0.90261,0.8005,0.88325,0.72144,0.7623,0.54175,0.93288,5.42045e-05,5.42045e-05,5.42045e-05
57,178.189,0.92982,0.76975,1.05312,0.88905,0.81125,0.88725,0.72315,0.76339,0.53881,0.93317,5.30264e-05,5.30264e-05,5.30264e-05
58,181.39,0.88531,0.72176,1.01903,0.88041,0.81893,0.88564,0.72698,0.7638,0.53686,0.93448,5.18483e-05,5.18483e-05,5.18483e-05
59,184.481,0.85608,0.71269,1.02411,0.87406,0.81898,0.88245,0.72621,0.76037,0.53355,0.93276,5.06702e-05,5.06702e-05,5.06702e-05
60,187.614,0.88908,0.73028,1.03561,0.87828,0.81465,0.88098,0.7249,0.75245,0.52962,0.92921,4.94921e-05,4.94921e-05,4.94921e-05
61,190.713,0.86855,0.71508,1.03886,0.86892,0.80973,0.87872,0.72489,0.74992,0.52908,0.92796,4.8314e-05,4.8314e-05,4.8314e-05
62,193.763,0.81578,0.68713,1.01305,0.86623,0.81359,0.88015,0.7256,0.7453,0.52781,0.92637,4.71359e-05,4.71359e-05,4.71359e-05
63,196.937,0.90422,0.72455,1.03542,0.86815,0.81114,0.88355,0.7299,0.73986,0.52543,0.92484,4.59578e-05,4.59578e-05,4.59578e-05
64,200.015,0.8359,0.68782,1.02837,0.8674,0.81141,0.88416,0.73186,0.73695,0.52377,0.92273,4.47797e-05,4.47797e-05,4.47797e-05
65,203.214,0.86078,0.67554,1.03294,0.86768,0.80816,0.88265,0.73039,0.73536,0.52273,0.92141,4.36016e-05,4.36016e-05,4.36016e-05
66,206.173,0.81624,0.68208,1.02104,0.86916,0.80699,0.8815,0.72909,0.73396,0.52313,0.92033,4.24235e-05,4.24235e-05,4.24235e-05
67,209.218,0.86299,0.6859,1.03,0.87298,0.80681,0.88289,0.7293,0.73274,0.52234,0.91949,4.12454e-05,4.12454e-05,4.12454e-05
68,212.229,0.79748,0.65827,1.00676,0.8727,0.81199,0.88402,0.73072,0.72946,0.5198,0.91833,4.00673e-05,4.00673e-05,4.00673e-05
69,215.321,0.82256,0.67759,1.02137,0.87348,0.80678,0.88347,0.73161,0.72697,0.51952,0.91711,3.88892e-05,3.88892e-05,3.88892e-05
70,218.506,0.82376,0.71476,1.02953,0.87018,0.81792,0.88796,0.73393,0.72558,0.5158,0.91581,3.77111e-05,3.77111e-05,3.77111e-05
71,221.751,0.85723,0.69287,1.02359,0.87704,0.81039,0.88558,0.73291,0.72292,0.51212,0.91497,3.6533e-05,3.6533e-05,3.6533e-05
72,224.889,0.84712,0.69752,1.03841,0.87224,0.82319,0.89065,0.73403,0.72286,0.50938,0.9149,3.53549e-05,3.53549e-05,3.53549e-05
73,228.078,0.8019,0.67336,1.01063,0.87314,0.81629,0.89065,0.73761,0.72307,0.50732,0.91445,3.41768e-05,3.41768e-05,3.41768e-05
74,231.322,0.82565,0.68932,1.02885,0.88531,0.80899,0.88835,0.74039,0.7205,0.50544,0.91386,3.29987e-05,3.29987e-05,3.29987e-05
75,234.516,0.82998,0.68808,1.02125,0.87738,0.81044,0.88753,0.7401,0.71695,0.50166,0.91203,3.18206e-05,3.18206e-05,3.18206e-05
76,237.686,0.82015,0.67245,1.02483,0.88216,0.81384,0.89113,0.74489,0.71367,0.49894,0.91175,3.06425e-05,3.06425e-05,3.06425e-05
77,240.867,0.87721,0.69959,1.02222,0.88048,0.81972,0.89298,0.74615,0.71166,0.49722,0.91096,2.94644e-05,2.94644e-05,2.94644e-05
78,244.037,0.84203,0.68112,1.01153,0.88404,0.81586,0.89406,0.74843,0.70954,0.49683,0.9108,2.82863e-05,2.82863e-05,2.82863e-05
79,247.286,0.85875,0.67002,1.02736,0.89367,0.8125,0.89187,0.74829,0.7059,0.49595,0.90937,2.71082e-05,2.71082e-05,2.71082e-05
80,250.438,0.81541,0.63747,1.00947,0.88551,0.8161,0.89149,0.74778,0.70342,0.49456,0.90853,2.59301e-05,2.59301e-05,2.59301e-05
81,253.472,0.82692,0.66326,1.02644,0.88287,0.81968,0.89337,0.7523,0.70305,0.4941,0.90862,2.4752e-05,2.4752e-05,2.4752e-05
82,256.245,0.81672,0.65842,1.01842,0.88362,0.82118,0.8942,0.75228,0.70193,0.49392,0.90773,2.35739e-05,2.35739e-05,2.35739e-05
83,259.019,0.85629,0.68875,1.02304,0.88967,0.81962,0.89487,0.75236,0.70134,0.49407,0.90741,2.23958e-05,2.23958e-05,2.23958e-05
84,261.796,0.75926,0.61774,1.00305,0.89923,0.81832,0.89626,0.75463,0.69998,0.49504,0.90698,2.12177e-05,2.12177e-05,2.12177e-05
85,264.69,0.82628,0.65227,0.99489,0.89933,0.81824,0.89658,0.75546,0.69943,0.49584,0.90713,2.00396e-05,2.00396e-05,2.00396e-05
86,267.574,0.81013,0.68244,1.00734,0.90084,0.81836,0.89718,0.75789,0.69732,0.49576,0.90658,1.88615e-05,1.88615e-05,1.88615e-05
87,270.537,0.77407,0.64422,1.02185,0.90069,0.82415,0.89819,0.75677,0.69807,0.49685,0.90702,1.76834e-05,1.76834e-05,1.76834e-05
88,273.379,0.76564,0.63546,1.01721,0.90139,0.82422,0.89868,0.75694,0.69802,0.49784,0.90715,1.65053e-05,1.65053e-05,1.65053e-05
89,276.136,0.83423,0.69479,1.01867,0.90211,0.82727,0.89932,0.75573,0.69824,0.4976,0.90669,1.53272e-05,1.53272e-05,1.53272e-05
90,278.889,0.80174,0.62942,1.01634,0.89899,0.82516,0.8988,0.75504,0.69789,0.49643,0.90609,1.41491e-05,1.41491e-05,1.41491e-05
91,282.25,0.82044,0.68444,0.98108,0.89283,0.80983,0.89342,0.75034,0.70159,0.49938,0.90644,1.2971e-05,1.2971e-05,1.2971e-05
92,285.01,0.8556,0.71841,1.00824,0.88096,0.81681,0.89414,0.74859,0.70873,0.50598,0.90797,1.17929e-05,1.17929e-05,1.17929e-05
93,287.79,0.83321,0.67581,0.99492,0.89915,0.79649,0.89447,0.74613,0.71575,0.51161,0.90957,1.06148e-05,1.06148e-05,1.06148e-05
94,290.497,0.81236,0.65029,0.98062,0.8979,0.79123,0.88935,0.74174,0.72307,0.51772,0.91272,9.4367e-06,9.4367e-06,9.4367e-06
95,293.239,0.81396,0.67012,0.99259,0.89492,0.78917,0.88829,0.7445,0.72627,0.52001,0.91358,8.2586e-06,8.2586e-06,8.2586e-06
96,295.952,0.81347,0.63413,0.98414,0.89897,0.78881,0.88802,0.74112,0.72904,0.52012,0.91395,7.0805e-06,7.0805e-06,7.0805e-06
97,298.639,0.79001,0.62507,0.98473,0.89936,0.78794,0.88695,0.73905,0.73058,0.52252,0.91433,5.9024e-06,5.9024e-06,5.9024e-06
98,301.342,0.79044,0.63149,0.98096,0.88077,0.79912,0.8866,0.73985,0.7327,0.52381,0.9144,4.7243e-06,4.7243e-06,4.7243e-06
99,304.059,0.80228,0.62807,0.97859,0.86481,0.81093,0.8875,0.73958,0.73465,0.52587,0.91527,3.5462e-06,3.5462e-06,3.5462e-06
100,306.761,0.79548,0.63778,0.99372,0.86448,0.8129,0.88769,0.73926,0.73563,0.5282,0.91557,2.3681e-06,2.3681e-06,2.3681e-06
