                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.64813,                0.47108,                0.97013,                0.92863,                0.90634,                0.95026,                0.82783,                0.55185,                0.33555,                0.86929,             8.0123e-05,             8.0123e-05,             8.0123e-05
                     35,                0.62163,                0.46251,                0.97858,                0.92105,                0.90629,                 0.9553,                0.83246,                0.54306,                0.33422,                0.86445,             7.8945e-05,             7.8945e-05,             7.8945e-05
                     36,                0.64935,                0.46742,                0.96006,                0.91822,                0.91062,                0.95667,                0.83172,                0.52934,                0.33224,                0.85962,             7.7766e-05,             7.7766e-05,             7.7766e-05
                     37,                0.59333,                0.43076,                0.96688,                0.94198,                0.89081,                0.95869,                0.83615,                0.52421,                0.32377,                0.85828,             7.6588e-05,             7.6588e-05,             7.6588e-05
                     38,                0.59181,                0.42542,                 0.9642,                0.93145,                0.90807,                0.95603,                0.84278,                 0.5241,                0.31653,                0.85812,              7.541e-05,              7.541e-05,              7.541e-05
                     39,                0.61096,                0.43161,                0.97135,                0.92924,                0.90814,                 0.9556,                0.83851,                0.52521,                0.31401,                0.85706,             7.4232e-05,             7.4232e-05,             7.4232e-05
                     40,                 0.5863,                0.41272,                  0.944,                0.94356,                0.89881,                0.95696,                0.84113,                0.51895,                0.31233,                0.85549,             7.3054e-05,             7.3054e-05,             7.3054e-05
                     41,                0.59087,                0.41146,                0.94103,                0.95289,                 0.8961,                 0.9549,                0.84438,                0.50571,                0.30905,                0.85401,             7.1876e-05,             7.1876e-05,             7.1876e-05
                     42,                0.61296,                0.42883,                0.97047,                0.94683,                 0.9003,                0.95488,                0.84588,                0.50042,                0.30881,                0.85258,             7.0698e-05,             7.0698e-05,             7.0698e-05
                     43,                 0.6362,                0.44639,                0.96823,                0.94884,                 0.9032,                0.95555,                0.84278,                0.50435,                0.30777,                0.85173,              6.952e-05,              6.952e-05,              6.952e-05
                     44,                0.60181,                0.41743,                0.95204,                0.96028,                0.89668,                0.95848,                0.84605,                0.49699,                0.30288,                0.84786,             6.8342e-05,             6.8342e-05,             6.8342e-05
                     45,                0.58871,                0.41686,                0.95527,                0.95207,                0.90178,                0.95693,                0.85272,                0.48637,                0.29886,                0.84395,             6.7164e-05,             6.7164e-05,             6.7164e-05
                     46,                0.56205,                0.39128,                0.92604,                0.95635,                0.89712,                0.95558,                0.85554,                0.48273,                0.29761,                0.84351,             6.5986e-05,             6.5986e-05,             6.5986e-05
                     47,                0.56177,                0.40455,                0.94147,                0.94656,                0.90679,                 0.9526,                0.85466,                0.47804,                0.29618,                0.84119,             6.4807e-05,             6.4807e-05,             6.4807e-05
